name,build,run,revised,comment
abn,gsl,,FALSE,"pkg-config, cmake, gsl, jpeg, gdal, geos, proj,udunits-2, openssl, libcurl, jags"
accessr,,,FALSE,"OfficeToPDF -https://github.com/cognidox/OfficeToPDF, pandoc -https://pandoc.org"
acro,,,FALSE,Python
adbcpostgresql,,,FALSE,libpq
adbcsqlite,,,FALSE,SQLite3
adimpro,,imagemagick-bin dcraw,TRUE,"Image Magick (for reading non PPM format), dcraw(for reading RAW images)."
admixr,,,TRUE,ADMIXTOOLS suite of command-line utilities forpopulation genetics. See<https://reich.hms.harvard.edu/software> for the most recentinstallation instructions and further information.
AFR,,,TRUE,C++
AgePopDenom,,,FALSE,TMB
aifeducation,,,FALSE,"PyTorch (see vignette ""Get started"")"
alfr,,,TRUE,Alfresco Content Repository (Community orEnterprise)
AlphaHull3D,gmp mpfr,,TRUE,
altair,,,TRUE,"Python, (Python) Altair,vega_datasets. To use image functions for MacOS: X11"
altmeta,,,TRUE,JAGSx.y (http://mcmc-jags.sourceforge.net)
AMAPVox,,java-bin,TRUE,
AncestryMapper,,,TRUE,"None, but greater thanGB of RAM highlyrecommended."
animation,,tex-latex ffmpeg-bin,TRUE,ImageMagick (http://imagemagick.org) orGraphicsMagick (http://www.graphicsmagick.org) or LyX(http://www.lyx.org) for saveGIF(); (PDF)LaTeX for saveLatex();SWF Tools (http://swftools.org) for saveSWF(); FFmpeg(http://ffmpeg.org) or avconv (https://libav.org/avconv.html)for saveVideo()
anticlust,glpk,,FALSE,Rendering the vignette requires pandoc(<https://pandoc.org/>).
apache.sedona,,,FALSE,'Apache Spark'x
apathe,,,FALSE,"Rendering the document template requires pandoc; https://pandoc.org) and for PDFs a TeX distribution, suchas TinyTeX; https://yihui.org/tinytex/)"
apcf,geos,,TRUE,GEOS
APRScenario,,,FALSE,LAPACK
arcgis,,,FALSE,"Cargo (Rust's package manager), rustc"
arcgisgeocode,,,FALSE,"Cargo (Rust's package manager), rustc, xz"
arcgisplaces,,,FALSE,"Cargo (Rust's package manager), rustc, OpenSSL"
arcgisutils,,,FALSE,"Cargo (Rust's package manager), rustc, xz"
archive,libarchive,,FALSE,"libarchive: libarchive-dev (deb), libarchive-devel(rpm), libarchive (homebrew), libarchive_dev (csw)"
arcpbf,,,FALSE,"Cargo (Rust's package manager), rustc"
arcpy,,,FALSE,"Conda, ArcGIS Pro"
argparse,,python3,TRUE,python
ari,,ffmpeg-bin,TRUE,ffmpeg
arrangements,gmp,,TRUE,gmp
arrow,arrow,,FALSE,"for AWS S3 support on Linux, libcurl andopenssl (optional); cmake(build-time only, and onlyfor full source build)"
artma,,,FALSE,JAGS(https://mcmc-jags.sourceforge.io/)
arulesCBA,,java-bin,TRUE,Java
arulesNBMiner,,java-bin,TRUE,Java
asbio,xvfb,bwidget,TRUE,BWidget
asremlPlus,,,FALSE,asreml
astgrepr,,,FALSE,"Cargo (Rust's package manager), rustc"
autoharp,,,TRUE,pandoc - http://pandoc.org
autonewsmd,,,FALSE,Quarto command line tools(https://github.com/quarto-dev/quarto-cli).
av,ffmpeg,,FALSE,"FFmpeg; with at least libx264 and lame(mp3) drivers. MacOS Homebrew: ffmpeg. Debian/Ubuntu:libavfilter-dev. Fedora/RHEL: either ffmpeg-devel fromhttps://rpmfusion.org (preferred), or libavfilter-free-develwhich is a more limited version available on Fedora/EPEL9."
awdb,,,FALSE,"Cargo (Rust's package manager), rustc"
AWR,,,TRUE,AWS Java SDK (see README.md for more details)
b64,,,FALSE,"Cargo (Rust's package manager), rustc, xz"
babelwhale,,docker singularity,TRUE,Docker and/or Singularity
babette,,,TRUE,BEAST2 (https://www.beast2.org/)
bacistool,,,TRUE,JAGS
BaHZING,,,FALSE,JAGSx.y (http://mcmc-jags.sourceforge.net)
baker,,,TRUE,
bamdit,,,TRUE,JAGS (seehttp://mcmc-jags.sourceforge.net)
bamm,,,FALSE,"GDAL: gdal-bin (deb), libgdal-dev (deb)or gdal-devel (rmp), GEOS, PROJ:libproj-dev (deb), sqlite3, ImageMagick++: imagemagick (deb),libmagic-dev (deb), libmagick++-dev (deb) orImageMagick-c++-devel (rpm) ImageMagick(http://imagemagick.org) or GraphicsMagick(http://www.graphicsmagick.org) or LyX (http://www.lyx.org) forsaveGIF(); (PDF)LaTeX for saveLatex(); SWF Tools(http://swftools.org) for saveSWF(); FFmpeg (http://ffmpeg.org)or avconv (https://libav.org/avconv.html) for saveVideo()"
BANOVA,,,TRUE,
bartMachine,,,TRUE,Java
bartMachineJARs,,,TRUE,Java
BayesCACE,,,TRUE,JAGSx.y (http://mcmc-jags.sourceforge.net)
bayescount,,,FALSE,JAGS (https://mcmc-jags.sourceforge.net)
BayesGWQS,,,TRUE,JAGS
bayesplot,,pandoc,TRUE,"pandoc, pandoc-citeproc"
BayesPostEst,,,TRUE,JAGS (http://mcmc-jags.sourceforge.io)
bayesQRsurvey,,,FALSE,"BLAS, LAPACK"
BayesSAE,gsl,,TRUE,
BayesTools,,,TRUE,JAGS(https://mcmc-jags.sourceforge.io/)
BayesVarSel,gsl,,TRUE,GNU Scientific Library
BayLum,,,FALSE,JAGS(https://mcmc-jags.sourceforge.io/)
bbl,gsl,,TRUE,
bbsBayes,,,TRUE,
bcgam,,,TRUE,
BCHM,,,TRUE,JAGS
bcputility,,,TRUE,bcp Utility
bdpar,,python3,TRUE,Pythonor
bdpopt,,,TRUE,
beastier,,,TRUE,BEAST2 (https://www.beast2.org/)
BeastJar,,,TRUE,Java
bedr,,,TRUE,"Preferred genomic operations engine: 'BEDTools','BEDOPS' and 'Tabix'."
BeQut,,,FALSE,JAGSx.y
bfw,,java-bin,TRUE,"JAGS<https://mcmc-jags.sourceforge.io>,Java JDK<https://www.java.com/en/download/manual.jsp>"
bhmbasket,,,TRUE,JAGSx.y (http://mcmc-jags.sourceforge.net)
BiBitR,,java-bin,TRUE,Java
biblio,,pandoc,TRUE,pandoc - http://pandoc.org
BIDistances,,,FALSE,"pandoc, needed for vignettes)"
bigGP,openmpi,openmpi-bin,TRUE,OpenMPI or MPICH2
bigrquerystorage,,,FALSE,grpc/protobuf headers and compilers. For examplelibprotobuf-dev libgrpc++-dev protobuf-compiler-grpc (Debian)or protobuf-devel grpc-devel grpc-plugins (Fedora/RHEL)
bigsimr,,,TRUE,"Julia, Bigsimr.jl, Distributions.jl"
bigsnpr,,,TRUE,A few functions from package 'bigsnpr' wrapexisting software such as 'PLINK'<www.cog-genomics.org/plink2>. Functions are provided todownload these software. Note that these external softwaremight not work for some operating systems (e.g. 'PLINK' mightnot work on Solaris).
bioacoustics,cmake fftw,,TRUE,"fftw3,"
bioimagetools,libtiff fftw curl openssl,,TRUE,tiff fftw libcurl openssl
biplotbootGUI,xvfb,bwidget,TRUE,Tcl/Tk package BWidget.
BiplotGUI,,,TRUE,windows
bisque,,,TRUE,
bittermelon,,,FALSE,'monobit' for reading/writing additional bitmapfont formats.
blandr,,,TRUE,pandoc
blaster,,,FALSE,C++
blastula,,,TRUE,pandoc - http://pandoc.org
blindreview,,,FALSE,gmp
blogdown,,hugo,TRUE,Hugo (<https://gohugo.io>) and Pandoc(<https://pandoc.org>)
blosc,,,FALSE,blosc: blosc-devel (rpm) or libblosc-dev (deb)
BMTME,,,TRUE,
bnlearn,,,FALSE,USE_C17
BNSP,gsl,,TRUE,
bookdown,,,TRUE,Pandoc
bootStateSpace,,,FALSE,GNU GSL
Boov,gmp mpfr,,TRUE,
BOSO,,,TRUE,
botor,,,TRUE,Python and boto3(https://aws.amazon.com/sdk-for-python)
BrailleR,,wxpython,TRUE,
breathtestcore,,pandoc,TRUE,pandoc
breathteststan,,pandoc,TRUE,
bridger,,texi2dvi,TRUE,
brinton,,,TRUE,"Pandoc, web browser"
brms,,,FALSE,pngquant
BRugs,openbugs,,TRUE,
bsam,,,TRUE,JAGS
bspm,,,TRUE,"systemd, dbus-python, PyGObject,python-(dnf|apt|alpm)"
bssm,,,TRUE,"pandoc, needed for vignettes)"
bsub,,,TRUE,"Platform LSF, bsub"
BTSPAS,,,TRUE,JAGS
BuildSys,,gdb,TRUE,"'Microsoft Visual Code', 'Rtools' on 'Windows','gdb' or 'lldb' depending on which OS"
c2d4u.tools,,,TRUE,
Cairo,cairo,,TRUE,cairohttp://www.cairographics.org/)
callme,,,FALSE,"Rtools (suitable for the installed R) for Windows,Xcode for Mac"
camtrapR,,exiftool,TRUE,ExifTool (https://exiftool.org/)
caracas,,,TRUE,Python
caRpools,,,TRUE,
cartogramR,fftw,,TRUE,"FFTW; possible package: fftw-devel (rpm),libfftw3-dev (deb) or fftw (brew)."
cartography,gdal geos proj sqlite,,TRUE,
causact,,,FALSE,Python and numpyro are needed for Bayesianinference computations; python with header files andshared library; numpyrov0.12.1;https://https://num.pyro.ai/en/latest/index.html); arvizv0.15.1; https://https://python.arviz.org/en/stable/)
caviarpd,cargo,,FALSE,"Cargo (Rust's package manager), rustc"
CBSr,,,TRUE,Java
cgalMeshes,gmp mpfr,,TRUE,
chicane,,,TRUE,bedtools
chopin,,,FALSE,netcdf
ChoR,,,TRUE,Java
chromote,,,TRUE,Google Chrome or other Chromium-based browser.chromium: chromium (rpm) or chromium-browser (deb)
ciflyr,,,FALSE,"Cargo (Rust's package manager), rustc"
CirceR,,,FALSE,Java
cit,gsl,,TRUE,gsl (with development libraries libgsl-dev)
clarabel,,,FALSE,"Cargo (Rust's package manager), rustc,and"
cld3,protobuf,,TRUE,libprotobuf and protobuf-compiler
cleanNLP,,,TRUE,Python
clinDataReview,,,TRUE,pandoc (to create a clinical data review report)
clinUtils,,,TRUE,pandoc (for export clin DT to a file - inclusion oflist of interactive plots/objects with knitr)
clipr,,xclip,TRUE,"xclip (https://github.com/astrand/xclip) or xsel(http://www.vergenet.net/~conrad/software/xsel/) for accessingthe X11 clipboard, or wl-clipboard(https://github.com/bugaevc/wl-clipboard) for systems usingWayland."
cloudml,,,FALSE,Python
clustermq,zeromq,,FALSE,ZeroMQ (libzmq)(optional; otherwisebundled)
ClusterR,,,TRUE,
CLVTools,,,FALSE,GNU GSL
cmaRs,,,TRUE,MOSEK (http://www.mosek.com) and MOSEK License foruse of Rmosek
cncaGUI,xvfb,bwidget,TRUE,Tcl/Tk package BWidget.
codacore,,,TRUE,TensorFlow (https://www.tensorflow.org/)
coga,gsl,,TRUE,GNU GSL
cogmapr,,,TRUE,libcurl: libcurl-devel (rpm) orlibcurl4-openssl-dev (deb).
collUtils,,,TRUE,
colorizer,,,TRUE,ImageMagick++: ImageMagick-c++-devel (rpm) orlibmagick++-dev (deb)
Colossus,,,FALSE,"make,"
COMBO,,,FALSE,JAGS (http://mcmc-jags.sourceforge.net)
CommonJavaJars,,java-bin,TRUE,Java
compdb,,,FALSE,Clang
concaveman,,,TRUE,"GDAL, GEOS, PROJ.4"
condor,,,FALSE,htcondor
conflr,,,TRUE,pandoc - https://pandoc.org
CoNI,,python3,TRUE,python3
conquestr,,,TRUE,ACER ConQuest
convexjlr,,,TRUE,
CoordinateCleaner,,,TRUE,GDAL
CopernicusDEM,,awscli,TRUE,"awscli: apt install -y awscli (deb), aws-configure:aws configure (deb)"
copernicusR,,,FALSE,"Python, copernicusmarine Python library"
copula,,,TRUE,pdfcrop (part of TexLive) is required to rebuildthe vignettes.
cordillera,,,TRUE,
corehunter,,,FALSE,Java
coreNLP,,,TRUE,Java; Stanford CoreNLP<http://nlp.stanford.edu/ software/corenlp.shtml>
couchDB,,,TRUE,
coveffectsplot,,pandoc,TRUE,pandoc with https support
COveR,,,FALSE,Gnu Scientific Library version
