name,type,build,run,fedora_rhel,debian_ubuntu
4ti2,math,FALSE,TRUE,4ti2,4ti2
aria2,net,FALSE,TRUE,aria2,aria2
arrow,hpc,TRUE,FALSE,libarrow-dataset-devel,
asciidoc,doc,FALSE,TRUE,asciidoc,asciidoc
autoconf,tools,TRUE,FALSE,autoconf,autoconf
automake,tools,TRUE,FALSE,automake,automake
awscli,hpc,FALSE,TRUE,awscli,awscli
bison,tools,TRUE,FALSE,bison,bison
boost,,TRUE,FALSE,boost-devel,libboost-dev
bwa,,FALSE,TRUE,bwa,bwa
bwidget,gui,TRUE,TRUE,bwidget,bwidget
cairo,media,TRUE,FALSE,cairo-devel,libcairo2-dev
cargo,,TRUE,TRUE,cargo,cargo
cmake,tools,TRUE,TRUE,cmake,cmake
coin-or-clp,math,TRUE,FALSE,coin-or-Clp-devel,coinor-libclp-dev
coin-or-symphony,math,TRUE,FALSE,coin-or-SYMPHONY-devel,coinor-libsymphony-dev
cppcheck,tools,FALSE,TRUE,cppcheck,cppcheck
cronie,tools,FALSE,TRUE,cronie,
curl,net,TRUE,FALSE,libcurl-devel,libcurl4-gnutls-dev
dcraw,media,FALSE,TRUE,dcraw,dcraw
devscripts,tools,TRUE,FALSE,devscripts-checkbashisms,devscripts
docker,hpc,FALSE,TRUE,podman-docker,docker
dos2unix,doc,FALSE,TRUE,dos2unix,dos2unix
doxygen,doc,FALSE,TRUE,doxygen,doxygen
exiftool,media,TRUE,TRUE,/usr/bin/exiftool,libimage-exiftool-perl
ffmpeg,media,TRUE,FALSE,ffmpeg-free-devel,libavfilter-dev
ffmpeg-bin,media,FALSE,TRUE,ffmpeg-free,ffmpeg
fftw,math,TRUE,FALSE,fftw-devel,fftw-dev
fftw3,math,TRUE,FALSE,fftw3-devel,libfftw3-dev
flex,tools,TRUE,FALSE,flex,flex
freetype,media,TRUE,FALSE,freetype-devel,libfreetype6-dev
fribidi,media,TRUE,FALSE,fribidi-devel,libfribidi-dev
gcc-c++,tools,FALSE,TRUE,g++,g++
gdal,geo,TRUE,FALSE,gdal-devel,libgdal-dev
gdal-python,geo,FALSE,TRUE,python3dist(gdal),python3-gdal
gdb,tools,FALSE,TRUE,gdb,gdb
geos,geo,TRUE,FALSE,geos-devel,libgeos-dev
gettext,tools,FALSE,TRUE,gettext,gettext
ghostscript,doc,FALSE,TRUE,ghostscript,ghostscript
git,net,FALSE,TRUE,git,git
glib2,tools,TRUE,FALSE,glib2-devel,libglib2.0-dev
glpk,math,TRUE,FALSE,glpk-devel,libglpk-dev
gmp,math,TRUE,FALSE,gmp-devel,libgmp3-dev
gmt,geo,FALSE,TRUE,gmt,gmt
gnupg2,crypto,FALSE,TRUE,gnupg2,gnupg2
gpgme,crypto,TRUE,FALSE,gpgme-devel,libgpgme-dev
graphviz,media,FALSE,TRUE,graphviz,graphviz
grass,geo,FALSE,TRUE,grass,grass
grep,tools,FALSE,TRUE,grep,grep
gretl,math,FALSE,TRUE,gretl,gretl
gsl,math,TRUE,TRUE,gsl-devel,libgsl-dev
harfbuzz,media,TRUE,FALSE,harfbuzz-devel,libharfbuzz-dev
hdf5,db,TRUE,FALSE,hdf5-devel,libhdf5-serial-dev
head,tools,FALSE,TRUE,/usr/bin/head,coreutils
hiredis,db,TRUE,FALSE,hiredis-devel,libhiredis-dev
hledger,doc,FALSE,TRUE,hledger,hledger
hugo,net,FALSE,TRUE,hugo,hugo
imagej,media,FALSE,TRUE,imagej,imagej
imagemagick,media,TRUE,FALSE,ImageMagick-c++-devel,libmagick++-dev
imagemagick-bin,media,FALSE,TRUE,ImageMagick,imagemagick
jags,,TRUE,FALSE,jags-devel,jags-dev
java,,TRUE,FALSE,R-java-devel,default-jdk
java-bin,,FALSE,TRUE,R-java,default-jre
jq,net,TRUE,FALSE,jq-devel,libjq-dev
julia,,FALSE,TRUE,julia,
jupyter-kernel-test,,TRUE,FALSE,python3dist(jupyter-kernel-test),python3-jupyter-kernel-test
latexdiff,tex,FALSE,TRUE,/usr/bin/latexdiff,latexdiff
latexmk,tex,FALSE,TRUE,latexmk,latexmk
latte,math,FALSE,TRUE,latte-integrale,
ledger,doc,FALSE,TRUE,ledger,ledger
leptonica,media,TRUE,FALSE,leptonica-devel,libleptonica-dev
libarchive,media,TRUE,FALSE,libarchive-devel,libarchive-dev
libgit2,net,TRUE,FALSE,libgit2-devel,libgit2-dev
libgl,media,TRUE,FALSE,mesa-libGL-devel,libgl1-mesa-dev
libglu,media,TRUE,FALSE,mesa-libGLU-devel,libglu1-mesa-dev
libjpeg,media,TRUE,FALSE,libjpeg-turbo-devel,libjpeg-dev
libpng,media,TRUE,FALSE,libpng-devel,libpng-dev
libreoffice,doc,FALSE,TRUE,libreoffice,libreoffice
librsvg2,media,TRUE,FALSE,librsvg2-devel,librsvg2-dev
libsecret,crypto,TRUE,FALSE,libsecret-devel,libsecret-1-dev
libsodium,crypto,TRUE,FALSE,libsodium-devel,libsodium-dev
libssh,net,TRUE,FALSE,libssh-devel,libssh-dev
libssh2,net,TRUE,FALSE,libssh2-devel,libssh2-1-dev
libtiff,media,TRUE,FALSE,libtiff-devel,libtiff-dev
libtool,tools,TRUE,FALSE,libtool,libtool
libwebp,media,TRUE,FALSE,libwebp-devel,libwebp-dev
libxml2,net,TRUE,FALSE,libxml2-devel,libxml2-dev
libxslt,net,TRUE,FALSE,libxslt-devel,libxslt1-dev
lilypond,doc,FALSE,TRUE,lilypond,lilypond
maxima,math,FALSE,TRUE,maxima,maxima
mdbtools,db,FALSE,TRUE,mdbtools,mdbtools
mecab,,TRUE,FALSE,mecab-devel,libmecab-dev
mpfr,math,TRUE,FALSE,mpfr-devel,libmpfr-dev
mpost,tex,FALSE,TRUE,/usr/bin/mpost,texlive-binaries
musescore,media,FALSE,TRUE,musescore,musescore
mysql,db,TRUE,FALSE,mariadb-devel,libmysqlclient-dev
nbconvert,doc,FALSE,TRUE,python3dist(nbconvert),python3-nbconvert
ncurses,gui,TRUE,FALSE,ncurses-devel,libncurses-dev
netcdf,geo,TRUE,FALSE,netcdf-devel,libnetcdf-dev
numpy,math,FALSE,TRUE,python3dist(numpy),python3-numpy
odbc,db,TRUE,FALSE,unixODBC-devel,unixodbc-dev
openbugs,,TRUE,TRUE,openbugs,openbugs
opencv,media,TRUE,FALSE,opencv-devel,libopencv-dev
openmpi,hpc,TRUE,FALSE,openmpi-devel,libopenmpi-dev
openmpi-bin,hpc,FALSE,TRUE,openmpi%{_isa},openmpi-bin
openssl,net,TRUE,FALSE,openssl-devel,libssl-dev
p7zip,tools,FALSE,TRUE,p7zip,p7zip
pandas,math,FALSE,TRUE,python3dist(pandas),python3-pandas
pandoc,doc,FALSE,TRUE,pandoc,pandoc
pari,math,FALSE,TRUE,pari-gp,pari-gp
pdflatex,tex,FALSE,TRUE,/usr/bin/pdflatex,texlive-latex-base
perl,,FALSE,TRUE,perl,perl
perl-getopt-long,,FALSE,TRUE,perl(Getopt::Long),libgetopt-long-descriptive-perl
pgf,tex,FALSE,TRUE,texlive-pgf,texlive-pictures
pocl,hpc,TRUE,FALSE,pocl-devel,libpocl-dev
poppler,doc,TRUE,FALSE,poppler-cpp-devel poppler-data poppler-glib-devel,libpoppler-cpp-dev poppler-utils libpoppler-glib-dev
postgresql,db,TRUE,FALSE,libpq-devel,libpq-dev
pprof,tools,FALSE,TRUE,pprof,google-perftools
procps,tools,FALSE,TRUE,procps,procps
proj,geo,TRUE,FALSE,proj-devel,libproj-dev
protobuf,net,TRUE,FALSE,protobuf-devel,libprotobuf-dev
pylint,,FALSE,TRUE,pylint,pylint
python2,,FALSE,TRUE,python2,python2
python3,,FALSE,TRUE,python3,python3
qpdf,doc,FALSE,TRUE,qpdf,qpdf
quantlib,,TRUE,FALSE,QuantLib-devel,libquantlib0-dev
redland,net,TRUE,FALSE,redland-devel,librdf0-dev
rrdtool,db,TRUE,FALSE,rrdtool-devel,librrd-dev
rst2pdf,doc,FALSE,TRUE,rst2pdf,rst2pdf
saga,geo,FALSE,TRUE,saga,saga
sasl,crypto,TRUE,FALSE,cyrus-sasl-devel,libsasl2-dev
scala,,TRUE,TRUE,scala,scala
scikit-learn,math,FALSE,TRUE,python3dist(scikit-learn),python3-sklearn
scipy,math,FALSE,TRUE,python3dist(scipy),python3-scipy
singularity,hpc,FALSE,TRUE,singularity,singularity
source-highlight,doc,FALSE,TRUE,source-highlight,source-highlight
sqlite,db,TRUE,FALSE,sqlite-devel,libsqlite3-dev
subversion,net,FALSE,TRUE,subversion,subversion
tbb,hpc,TRUE,TRUE,tbb-devel,libtbb-dev
tesseract,doc,TRUE,FALSE,tesseract-devel,libtesseract-dev
tex-adjustbox,tex,FALSE,TRUE,tex(adjustbox.sty),texlive-latex-extra
tex-array,tex,FALSE,TRUE,tex(array.sty),texlive-latex-base
tex-calc,tex,FALSE,TRUE,tex(calc.sty),texlive-latex-base
tex-caption,tex,FALSE,TRUE,tex(caption.sty),texlive-latex-recommended
tex-colortbl,tex,FALSE,TRUE,tex(colortbl.sty),texlive-latex-base
tex-fontspec,tex,FALSE,TRUE,tex(fontspec.sty),texlive-latex-recommended
tex-graphicx,tex,FALSE,TRUE,tex(graphicx.sty),texlive-latex-base
tex-hhline,tex,FALSE,TRUE,tex(hhline.sty),texlive-latex-base
tex-hyperref,tex,FALSE,TRUE,tex(hyperref.sty),texlive-latex-base
tex-latex,tex,FALSE,TRUE,tex(latex),texlive-latex-recommended
tex-multirow,tex,FALSE,TRUE,tex(multirow.sty),texlive-latex-extra
tex-pdfpages,tex,FALSE,TRUE,tex(pdfpages.sty),texlive-latex-recommended
tex-siuntix,tex,FALSE,TRUE,tex(siunitx.sty),texlive-science
tex-standalone,tex,FALSE,TRUE,tex(standalone.cls),texlive-latex-extra
tex-tabularx,tex,FALSE,TRUE,tex(tabularx.sty),texlive-latex-base
tex-threeparttable,tex,FALSE,TRUE,tex(threeparttable.sty),texlive-latex-extra
tex-ulem,tex,FALSE,TRUE,tex(ulem.sty),texlive-plain-generic
tex-wrapfig,tex,FALSE,TRUE,tex(wrapfig.sty),texlive-latex-extra
texi2dvi,tex,FALSE,TRUE,/usr/bin/texi2dvi,texinfo
tkimg,gui,FALSE,TRUE,tkimg,libtk-img
udunits,geo,TRUE,FALSE,udunits2-devel,libudunits2-dev
unrar,tools,FALSE,TRUE,/usr/bin/unrar,unrar
v8,,TRUE,FALSE,v8-devel,libv8-dev
vagrant,hpc,FALSE,TRUE,vagrant,vagrant
wordnet,db,FALSE,TRUE,wordnet,wordnet
wxpython,gui,FALSE,TRUE,python3dist(wxpython),python3-wxgtk4.0
xclip,tools,FALSE,TRUE,xclip,xclip
xpdf,doc,FALSE,TRUE,xpdf,xpdf
xvfb,gui,TRUE,FALSE,xorg-x11-server-Xvfb,xvfb
yad,gui,FALSE,TRUE,yad,yad
zenity,gui,FALSE,TRUE,zenity,zenity
zeromq,net,TRUE,FALSE,zeromq-devel,libzmq3-dev
